name,address,type
FUN_004114e0,0x4114e0,function
FUN_00411720,0x411720,function
FUN_004117b0,0x4117b0,function
FUN_00411a80,0x411a80,function
FUN_00411b10,0x411b10,function
FUN_00412300,0x412300,function
FUN_004123d0,0x4123d0,function
FUN_00412fa0,0x412fa0,function
FUN_00413070,0x413070,function
FUN_00413140,0x413140,function
FUN_00413890,0x413890,function
FUN_00413990,0x413990,function
FUN_004142c0,0x4142c0,function
th08::Rng::GetRandomF32SignedInRange,0x4143c0,function
th08::Spellcard::Spellcard,0x4143e0,function
FUN_004144d0,0x4144d0,function
FUN_00414540,0x414540,function
th08::Spellcard::Init,0x414590,function
FUN_004152a0,0x4152a0,function
FUN_00415c60,0x415c60,function
FUN_00415c80,0x415c80,function
th08::Background::FUN_00415ce0,0x415ce0,function
FUN_00415d10,0x415d10,function
FUN_00415d60,0x415d60,function
FUN_00415f00,0x415f00,function
FUN_00416130,0x416130,function
FUN_00416160,0x416160,function
FUN_004161b0,0x4161b0,function
FUN_00416ad0,0x416ad0,function
FUN_00416af0,0x416af0,function
FUN_00416b10,0x416b10,function
th08::Spellcard::SpellcardOnUpdateImpl,0x416b90,function
FUN_00417860,0x417860,function
FUN_004178a0,0x4178a0,function
th08::Spellcard::OnDrawImpl,0x4178c0,function
th08::Spellcard::RegisterChain,0x417f60,function
th08::Spellcard::OnUpdate,0x418010,function
th08::Spellcard::OnDraw,0x418030,function
th08::Spellcard::DeletedCallback,0x418050,function
th08::Spellcard::CutChain,0x4180f0,function
th08::ZunTimer::operator--(int),0x418110,function
th08::GameManager::FUN_00418130,0x418130,function
th08::GameManager::FUN_00418180,0x418180,function
th08::GameManager::AddScore,0x4181f0,function
th08::GameManager::AddTimeOrbs,0x418220,function
FUN_004182e0,0x4182e0,function
FUN_00418300,0x418300,function
th08::EclManager::Load,0x418330,function
FUN_00418420,0x418420,function
FUN_00418450,0x418450,function
th08::EclManager::RunEcl,0x4184b0,function
FUN_0041efc0,0x41efc0,function
FUN_0041f000,0x41f000,function
FUN_0041f040,0x41f040,function
fmodf,0x41f090,function
FUN_0041f0b0,0x41f0b0,function
FUN_0041f0e0,0x41f0e0,function
FUN_0041f110,0x41f110,function
FUN_0041f280,0x41f280,function
FUN_0041f400,0x41f400,function
FUN_0041f420,0x41f420,function
FUN_0041fd20,0x41fd20,function
FUN_0041fd40,0x41fd40,function
FUN_0041fd90,0x41fd90,function
FUN_0041fdd0,0x41fdd0,function
th08::ZunTimer::operator+=,0x41fdf0,function
FUN_0041fe10,0x41fe10,function
FUN_00420120,0x420120,function
FUN_00420950,0x420950,function
